"Deaths per week (experimental statistics) by region, sex, age and time"

" ";" ";" ";"2014U01";"2014U02";"2014U03";"2014U04";"2014U05";"2014U06";"2014U07";"2014U08";"2014U09";"2014U10";"2014U11";"2014U12";"2014U13";"2014U14";"2014U15";"2014U16";"2014U17";"2014U18";"2014U19";"2014U20";"2014U21";"2014U22";"2014U23";"2014U24";"2014U25";"2014U26";"2014U27";"2014U28";"2014U29";"2014U30";"2014U31";"2014U32";"2014U33";"2014U34";"2014U35";"2014U36";"2014U37";"2014U38";"2014U39";"2014U40";"2014U41";"2014U42";"2014U43";"2014U44";"2014U45";"2014U46";"2014U47";"2014U48";"2014U49";"2014U50";"2014U51";"2014U52";"2015U01";"2015U02";"2015U03";"2015U04";"2015U05";"2015U06";"2015U07";"2015U08";"2015U09";"2015U10";"2015U11";"2015U12";"2015U13";"2015U14";"2015U15";"2015U16";"2015U17";"2015U18";"2015U19";"2015U20";"2015U21";"2015U22";"2015U23";"2015U24";"2015U25";"2015U26";"2015U27";"2015U28";"2015U29";"2015U30";"2015U31";"2015U32";"2015U33";"2015U34";"2015U35";"2015U36";"2015U37";"2015U38";"2015U39";"2015U40";"2015U41";"2015U42";"2015U43";"2015U44";"2015U45";"2015U46";"2015U47";"2015U48";"2015U49";"2015U50";"2015U51";"2015U52";"2015U53";"2016U01";"2016U02";"2016U03";"2016U04";"2016U05";"2016U06";"2016U07";"2016U08";"2016U09";"2016U10";"2016U11";"2016U12";"2016U13";"2016U14";"2016U15";"2016U16";"2016U17";"2016U18";"2016U19";"2016U20";"2016U21";"2016U22";"2016U23";"2016U24";"2016U25";"2016U26";"2016U27";"2016U28";"2016U29";"2016U30";"2016U31";"2016U32";"2016U33";"2016U34";"2016U35";"2016U36";"2016U37";"2016U38";"2016U39";"2016U40";"2016U41";"2016U42";"2016U43";"2016U44";"2016U45";"2016U46";"2016U47";"2016U48";"2016U49";"2016U50";"2016U51";"2016U52";"2017U01";"2017U02";"2017U03";"2017U04";"2017U05";"2017U06";"2017U07";"2017U08";"2017U09";"2017U10";"2017U11";"2017U12";"2017U13";"2017U14";"2017U15";"2017U16";"2017U17";"2017U18";"2017U19";"2017U20";"2017U21";"2017U22";"2017U23";"2017U24";"2017U25";"2017U26";"2017U27";"2017U28";"2017U29";"2017U30";"2017U31";"2017U32";"2017U33";"2017U34";"2017U35";"2017U36";"2017U37";"2017U38";"2017U39";"2017U40";"2017U41";"2017U42";"2017U43";"2017U44";"2017U45";"2017U46";"2017U47";"2017U48";"2017U49";"2017U50";"2017U51";"2017U52";"2018U01";"2018U02";"2018U03";"2018U04";"2018U05";"2018U06";"2018U07";"2018U08";"2018U09";"2018U10";"2018U11";"2018U12";"2018U13";"2018U14";"2018U15";"2018U16";"2018U17";"2018U18";"2018U19";"2018U20";"2018U21";"2018U22";"2018U23";"2018U24";"2018U25";"2018U26";"2018U27";"2018U28";"2018U29";"2018U30";"2018U31";"2018U32";"2018U33";"2018U34";"2018U35";"2018U36";"2018U37";"2018U38";"2018U39";"2018U40";"2018U41";"2018U42";"2018U43";"2018U44";"2018U45";"2018U46";"2018U47";"2018U48";"2018U49";"2018U50";"2018U51";"2018U52";"2019U01";"2019U02";"2019U03";"2019U04";"2019U05";"2019U06";"2019U07";"2019U08";"2019U09";"2019U10";"2019U11";"2019U12";"2019U13";"2019U14";"2019U15";"2019U16";"2019U17";"2019U18";"2019U19";"2019U20";"2019U21";"2019U22";"2019U23";"2019U24";"2019U25";"2019U26";"2019U27";"2019U28";"2019U29";"2019U30";"2019U31";"2019U32";"2019U33";"2019U34";"2019U35";"2019U36";"2019U37";"2019U38";"2019U39";"2019U40";"2019U41";"2019U42";"2019U43";"2019U44";"2019U45";"2019U46";"2019U47";"2019U48";"2019U49";"2019U50";"2019U51";"2019U52";"2020U01";"2020U02";"2020U03";"2020U04";"2020U05";"2020U06";"2020U07";"2020U08";"2020U09";"2020U10";"2020U11";"2020U12";"2020U13";"2020U14";"2020U15";"2020U16";"2020U17";"2020U18";"2020U19";"2020U20";"2020U21";"2020U22";"2020U23";"2020U24";"2020U25";"2020U26";"2020U27";"2020U28";"2020U29";"2020U30";"2020U31";"2020U32";"2020U33";"2020U34";"2020U35";"2020U36";"2020U37";"2020U38";"2020U39";"2020U40";"2020U41";"2020U42";"2020U43";"2020U44";"2020U45";"2020U46";"2020U47";"2020U48";"2020U49"
" ";" ";"40-44 years";9;6;1;3;3;5;5;10;5;6;8;4;6;9;6;8;5;4;3;8;6;5;3;3;7;9;4;2;9;7;5;6;5;5;8;4;7;3;6;7;4;4;5;8;6;3;3;7;3;7;6;5;5;11;8;3;5;6;5;3;5;4;3;4;8;5;4;4;4;6;7;5;3;9;1;11;7;6;4;4;3;6;7;4;1;6;6;6;5;6;2;2;1;5;3;5;8;2;4;4;10;8;5;4;4;7;6;1;10;8;13;6;6;3;3;5;4;8;4;5;10;1;3;5;10;4;7;4;3;5;1;5;7;4;7;9;6;2;3;6;5;4;5;7;4;1;5;2;1;4;10;2;5;7;3;4;6;3;4;6;4;4;5;5;1;3;6;6;7;7;6;6;2;2;8;1;4;4;7;7;6;3;4;4;2;5;8;4;4;3;3;2;3;3;6;2;3;2;2;6;1;10;6;5;2;4;4;3;7;6;3;2;2;5;7;4;5;2;3;7;7;4;4;3;3;6;12;7;8;4;3;4;3;2;3;6;5;5;3;6;7;3;7;5;6;2;6;4;4;6;6;5;6;2;3;2;2;5;6;4;7;4;9;2;1;6;5;1;3;3;4;4;6;2;3;5;3;4;2;9;6;3;5;6;4;1;3;3;5;3;4;2;3;3;6;6;5;7;3;4;0;2;0;3;1;5;1;3;4;5;7;4;8;2;4;2;4;3;1;5;7;3;7;4;7;3;4;5;3;4;6;3;8;6;3;2;5;5;3;2;4;5;5;4;6;3;6;0;6;3;4;0;3;1;4;3;7;5;5;4;5;6
" ";" ";"45-49 years";16;5;12;6;8;11;14;8;13;9;4;10;5;10;11;11;13;12;7;8;9;6;14;12;9;13;7;11;6;9;14;9;9;10;7;17;10;10;14;7;15;7;9;11;10;9;8;10;8;8;11;11;6;13;10;10;5;17;11;9;5;14;14;7;7;15;12;13;10;13;11;18;11;13;5;4;3;10;12;6;11;8;12;12;11;11;6;14;8;11;4;10;7;10;6;4;12;14;5;8;19;8;6;4;5;8;7;12;12;13;7;12;4;11;13;15;8;19;13;15;9;7;10;6;6;11;5;3;5;7;7;10;8;10;5;6;13;8;9;8;7;14;8;10;6;7;10;6;9;10;9;9;11;8;10;6;9;6;8;11;11;6;7;9;5;9;11;7;7;10;9;11;11;8;9;11;12;5;7;9;9;12;7;10;11;6;9;6;6;9;3;7;4;14;12;11;6;13;8;14;8;7;4;9;11;4;11;15;6;9;12;9;11;10;8;8;6;12;3;7;9;15;11;10;8;8;9;5;6;8;3;11;5;4;4;7;6;10;4;8;8;7;8;7;6;2;8;5;6;8;6;9;8;12;10;8;7;7;3;13;9;12;12;6;9;7;6;7;8;17;5;8;12;12;8;4;2;9;11;12;8;8;2;6;4;7;6;7;5;11;5;5;9;6;4;8;8;8;7;10;9;10;8;7;5;7;6;11;9;7;11;8;8;6;10;7;5;9;9;5;12;5;9;7;5;10;14;10;8;15;7;9;4;6;5;5;6;11;3;1;6;7;6;8;7;8;4;1;5;6;7;10;6;11;10;9;7;5;8;7;9;4
" ";" ";"50-54 years";16;16;22;18;14;20;22;12;10;18;26;17;14;15;18;17;21;14;14;24;13;9;13;14;15;16;18;14;14;19;20;14;15;14;14;6;13;14;22;17;13;15;11;12;15;16;9;11;17;24;20;18;21;15;14;22;16;9;19;29;20;19;29;18;21;13;11;11;14;15;10;14;17;14;17;16;9;18;14;15;13;14;13;19;11;15;15;17;17;19;19;17;22;12;23;17;18;25;13;16;19;9;20;17;15;14;18;19;18;21;11;18;19;20;17;21;13;13;10;17;11;16;16;9;12;16;13;13;13;13;13;12;14;17;9;16;16;16;10;15;13;16;12;14;14;15;9;18;12;16;14;18;19;17;16;17;15;20;26;10;12;26;11;15;17;20;16;17;21;9;13;18;16;15;15;8;20;17;11;17;14;14;7;14;8;14;11;9;10;24;12;20;16;9;15;11;18;11;15;10;19;17;9;14;20;19;18;17;20;18;12;9;22;10;14;16;14;18;24;15;24;15;20;26;10;18;21;15;22;20;10;17;13;13;9;16;16;18;20;15;17;16;19;15;13;15;5;10;17;9;16;16;8;7;12;13;13;14;19;14;11;13;19;15;15;14;13;21;13;11;14;13;12;16;15;18;16;10;15;7;17;14;17;14;11;14;18;13;6;18;20;15;12;19;11;13;15;12;4;19;19;9;19;12;14;12;18;17;19;10;10;13;9;11;23;13;14;23;20;16;15;15;11;9;13;13;10;7;9;12;15;24;12;9;16;12;12;15;9;16;16;14;9;13;16;12;14;8;3;11;17;13;14;6;13;12;7;17;17;12;14;11
" ";" ";"55-59 years";23;27;28;21;27;21;22;26;20;30;29;35;31;21;34;34;24;23;22;22;31;26;31;26;17;16;16;27;25;34;23;33;8;18;22;23;26;26;17;22;28;13;18;25;23;28;22;24;23;32;29;23;21;30;23;25;22;22;22;25;24;30;30;21;24;18;25;21;16;29;22;23;24;25;31;26;21;23;25;29;18;29;16;24;21;30;26;20;27;21;22;21;22;21;18;25;15;20;14;24;31;20;24;21;25;37;26;24;23;25;21;29;28;29;29;27;27;18;22;38;23;21;23;29;27;26;22;22;19;27;23;23;12;11;26;26;19;21;27;26;30;27;21;26;32;31;18;19;26;22;21;24;19;25;32;29;31;25;28;20;24;20;18;21;25;27;24;25;24;25;16;21;24;30;21;23;26;31;26;20;19;29;27;16;26;35;15;17;19;19;22;22;29;23;18;24;24;25;23;24;23;16;20;26;19;23;19;26;17;23;23;24;21;22;31;41;24;31;33;24;30;17;27;22;19;20;26;25;22;24;25;31;12;21;11;20;19;30;24;26;21;21;20;24;14;27;25;20;25;23;22;20;20;24;16;22;18;21;25;32;28;30;27;24;23;27;31;30;16;25;16;16;24;27;14;19;19;20;19;29;17;17;24;24;23;24;20;28;22;18;22;23;20;35;28;21;20;20;22;24;25;28;18;19;20;29;20;20;10;15;19;29;21;22;19;16;22;23;21;18;26;25;29;16;18;17;22;19;21;22;23;23;25;20;12;19;24;16;34;28;16;28;19;22;25;31;19;18;13;24;24;19;21;17;26;25;26;20;17;23;19;25
" ";" ";"60-64 years";32;43;40;33;53;49;42;32;40;33;38;41;39;37;42;40;26;47;34;26;54;29;30;35;38;37;28;39;41;40;46;34;28;32;40;36;35;38;27;31;31;25;24;39;46;38;46;35;44;31;35;46;36;36;48;41;32;39;46;46;35;43;50;34;35;32;43;33;21;31;47;34;29;33;29;28;32;44;36;27;40;31;41;31;32;48;33;41;41;36;28;42;32;29;38;31;42;41;38;38;38;34;41;31;31;34;30;41;38;42;37;35;40;46;33;36;40;47;37;36;33;39;51;35;19;34;30;42;21;49;26;33;29;38;34;30;35;30;32;32;36;31;43;36;38;38;33;36;32;44;34;43;34;23;39;36;35;36;40;34;35;46;43;30;29;36;42;32;38;48;41;29;38;39;33;38;29;37;34;34;32;25;39;39;29;27;25;32;21;27;31;28;38;43;31;29;30;37;34;33;41;37;43;36;42;31;37;31;35;46;29;30;31;36;28;38;38;35;50;43;50;37;40;47;39;34;33;33;43;33;32;38;37;35;26;36;31;36;46;28;41;45;28;32;22;32;27;30;30;19;30;31;32;34;29;30;35;31;34;31;31;33;38;32;37;46;51;47;36;34;39;30;29;37;31;29;30;43;22;37;25;31;31;25;26;37;39;28;22;25;38;41;38;31;36;34;27;34;38;41;25;37;33;42;31;44;50;31;40;41;39;32;42;41;33;32;35;33;30;32;33;25;31;34;36;28;31;33;32;29;25;30;31;33;37;36;34;32;35;45;34;33;33;24;19;32;23;30;31;41;35;35;21;39;23;40;36;23;31;29;34;25
" ";" ";"65-69 years";49;64;72;52;65;52;62;51;55;49;64;64;59;61;59;76;54;52;63;58;74;49;53;53;51;60;61;54;44;48;48;47;51;40;52;51;54;54;61;55;71;61;57;49;56;49;55;51;60;57;52;56;67;62;57;54;59;65;60;62;49;61;69;57;55;58;56;50;65;47;52;52;50;57;42;44;56;41;52;52;51;63;56;45;56;50;52;35;48;48;49;48;48;45;58;54;48;54;51;51;65;56;56;59;52;60;47;53;70;62;59;58;66;57;61;55;64;57;56;48;41;63;48;57;53;45;58;44;54;49;43;45;47;45;47;47;43;54;52;53;59;43;44;58;54;53;42;44;32;67;51;54;49;63;52;56;45;43;56;49;50;55;53;57;48;50;47;46;56;48;54;46;46;44;54;63;49;48;34;41;42;47;53;51;49;46;54;41;53;39;47;50;34;54;47;49;43;44;57;60;50;40;55;43;46;63;46;63;47;47;46;65;46;55;62;53;54;64;74;49;54;48;50;41;45;54;39;58;57;47;47;48;39;52;42;48;44;45;47;53;59;43;50;34;53;56;53;47;39;52;51;44;41;67;36;41;51;52;53;48;54;67;51;54;55;75;72;58;70;49;45;53;56;43;57;45;43;46;54;51;49;50;47;52;51;51;58;35;38;48;29;48;53;42;51;56;45;45;43;41;46;58;51;60;45;57;50;50;66;61;50;46;49;69;43;59;49;49;56;47;52;42;50;68;56;53;52;56;54;49;42;57;49;49;47;35;47;50;42;45;42;47;47;48;36;52;55;47;40;40;46;38;49;42;53;50;41;41;64;52;36;46
" ";" ";"70-74 years";77;51;80;64;62;60;74;42;62;54;49;61;49;61;71;66;63;56;88;70;65;69;47;68;53;57;73;52;66;63;54;60;70;58;57;76;61;70;57;68;55;59;68;54;54;69;75;75;66;68;79;66;60;57;76;64;81;79;76;77;93;77;78;52;72;77;70;88;72;69;72;66;75;73;58;69;69;67;75;74;57;51;80;54;61;58;50;62;65;53;65;59;74;55;61;66;88;72;75;65;60;75;69;65;59;78;78;66;88;71;64;68;84;76;71;87;65;75;64;88;69;73;91;75;71;67;60;63;69;67;64;67;58;67;59;58;51;60;82;70;69;79;68;65;54;70;78;65;60;79;71;57;82;65;82;61;80;100;55;95;95;77;88;88;82;81;78;91;78;73;64;70;62;61;91;76;76;79;77;73;90;83;69;76;64;69;72;76;83;60;62;72;74;73;78;76;62;66;68;74;57;69;83;66;56;94;80;74;75;88;68;81;70;90;60;85;100;74;100;85;77;69;86;75;78;55;55;83;65;81;65;95;77;68;72;83;59;63;76;99;76;77;64;73;68;75;84;81;77;75;91;63;69;71;68;62;86;60;70;76;77;81;91;78;87;94;84;80;76;70;78;70;81;60;71;78;81;65;75;67;77;71;63;71;56;83;79;64;65;82;77;81;89;71;58;69;70;79;62;64;63;83;73;73;71;72;60;89;79;80;63;64;62;76;82;72;84;75;68;71;76;88;62;78;76;80;92;92;63;73;75;68;69;72;70;73;72;66;61;53;60;78;59;71;60;74;53;60;60;61;72;80;73;60;83;73;75;72;68;73;86;84
" ";" ";"75-79 years";64;67;72;78;71;71;67;77;67;76;76;73;60;64;66;62;77;60;71;62;65;70;76;72;71;67;66;77;75;83;69;70;72;53;63;76;73;62;60;61;55;53;79;67;68;63;67;72;70;78;75;60;93;72;58;66;57;75;72;66;97;76;91;86;78;67;79;71;62;85;61;61;58;58;75;74;79;60;66;59;60;53;58;74;75;73;67;66;69;76;75;68;62;58;60;76;68;87;81;86;93;81;75;71;63;76;72;73;85;56;53;75;70;63;75;90;83;83;74;66;72;76;73;81;66;78;69;68;61;71;60;70;67;57;68;72;69;69;64;67;67;66;68;76;63;87;78;75;74;62;83;77;60;66;79;82;94;79;77;79;80;85;69;88;90;88;73;79;86;68;76;88;58;64;72;71;74;71;53;84;82;84;78;59;69;55;61;81;62;58;65;65;61;79;88;74;71;82;79;55;83;73;72;79;86;74;92;71;73;77;86;90;99;89;88;89;91;111;84;103;106;109;75;85;82;65;82;69;72;66;71;70;64;69;70;72;86;73;91;92;67;67;61;63;92;69;79;73;71;63;79;100;80;77;81;88;72;85;79;88;86;64;92;96;65;84;102;86;92;86;71;94;86;92;86;95;71;87;80;96;71;71;75;78;73;83;87;69;85;70;87;68;78;81;79;85;96;81;89;78;68;77;71;91;75;81;92;84;86;101;77;95;69;99;85;91;86;71;102;81;88;83;87;86;95;96;111;96;92;92;88;84;80;79;79;80;77;72;94;85;79;90;80;69;73;83;83;88;72;90;111;71;85;78;94;101;76;91;92;91;102;95
" ";" ";"80-84 years";95;76;76;84;87;78;82;90;81;83;74;64;82;87;70;64;85;77;70;63;70;54;70;80;73;75;57;76;74;65;64;74;61;74;82;70;56;73;70;70;71;82;76;73;64;66;57;70;93;84;69;90;100;84;79;86;79;77;67;94;95;103;77;83;84;87;76;65;90;80;66;73;68;67;76;73;67;66;64;74;77;61;93;90;63;68;69;74;65;77;66;80;84;67;77;79;69;66;86;95;74;82;68;80;95;77;83;79;92;80;88;93;90;81;109;87;78;92;80;83;76;63;85;86;63;82;77;70;69;73;53;65;81;84;63;66;94;71;81;84;70;82;74;71;68;77;90;88;90;75;71;82;62;68;72;72;71;89;96;93;88;109;95;87;99;95;89;94;74;88;73;80;76;92;86;79;81;68;89;95;83;57;76;94;73;79;71;75;68;69;81;80;77;75;71;86;79;63;72;75;89;79;84;87;92;76;87;77;89;92;93;92;96;91;100;98;95;97;115;98;113;97;114;94;95;96;91;83;74;74;73;82;84;85;79;85;87;80;98;95;86;78;91;59;100;83;82;83;75;82;72;83;92;67;77;77;87;90;85;98;80;78;97;93;84;107;98;94;108;82;82;83;87;75;86;79;88;79;76;84;81;89;89;81;87;74;78;78;92;75;83;92;68;79;84;76;85;72;83;88;72;97;73;82;85;87;107;89;92;100;94;91;87;71;94;87;83;105;87;81;64;67;91;86;98;111;103;111;95;96;85;87;78;88;78;93;82;67;71;72;76;84;75;93;82;80;90;82;76;83;100;93;78;89;80;102;82;110;94;98;95;99
" ";" ";"85-89 years";61;85;68;82;79;83;81;72;71;83;75;67;75;70;76;73;79;64;69;62;67;68;77;60;62;79;63;58;67;71;62;71;69;75;69;73;74;80;57;59;61;55;58;53;77;66;67;87;81;77;76;98;78;83;84;88;76;91;79;83;87;91;69;75;66;85;77;86;77;73;68;72;69;78;63;69;68;68;70;72;54;69;69;61;67;71;68;53;61;68;65;64;67;84;74;73;68;69;66;92;78;92;85;67;70;65;91;78;75;80;71;76;82;94;81;81;74;77;71;83;62;68;73;68;60;67;70;71;78;76;61;67;71;69;63;58;77;78;69;60;63;69;75;57;66;82;67;59;75;58;85;84;76;78;73;72;66;61;78;68;71;81;103;103;105;103;67;78;84;71;76;76;79;83;81;84;71;69;73;66;68;64;78;64;66;57;78;62;67;68;67;63;68;51;62;61;73;75;73;58;63;65;108;74;59;66;83;83;97;100;108;100;81;80;84;87;90;99;117;84;104;81;77;92;71;72;73;78;76;70;76;71;74;57;88;80;62;65;97;70;71;76;88;75;74;66;75;74;75;66;58;77;87;75;72;81;77;73;70;74;71;71;78;74;81;83;101;101;76;74;78;78;81;85;73;61;72;86;79;75;74;66;88;74;74;72;62;68;72;82;66;56;60;64;57;63;67;79;78;68;80;94;79;77;72;75;68;77;67;89;77;63;66;108;101;65;70;79;90;84;77;74;74;90;100;100;81;91;83;75;96;78;71;71;67;78;80;67;73;77;73;76;67;66;80;62;86;66;84;87;74;79;76;75;86;82;84;78;77;91;73;90
" ";" ";"90-94 years";43;48;44;46;53;40;59;42;30;41;46;41;30;37;35;35;32;44;39;48;39;30;35;28;39;35;33;53;32;44;38;48;43;44;36;48;37;34;36;29;44;48;32;33;43;49;55;45;49;39;50;43;40;51;34;46;58;59;52;55;63;55;64;55;44;55;48;54;36;41;40;33;42;31;37;40;37;42;46;38;42;43;34;35;39;30;30;37;33;39;50;49;36;45;51;50;40;42;42;50;40;36;40;44;41;52;49;46;44;49;52;38;42;53;47;43;60;50;43;42;38;47;33;37;42;41;40;41;37;38;44;37;31;49;47;32;35;43;33;27;47;41;49;54;41;48;57;45;42;42;53;49;47;57;57;58;60;81;50;66;55;55;52;60;54;64;55;60;55;40;46;39;34;36;59;47;31;35;41;47;51;41;37;48;36;39;41;54;32;43;42;36;34;33;39;47;45;46;41;42;44;52;47;53;49;58;52;54;62;50;71;66;51;52;51;67;62;72;63;69;50;63;51;45;52;50;46;50;43;42;53;35;39;50;35;45;47;38;40;40;45;40;37;37;41;39;51;54;44;60;47;38;48;31;51;44;43;56;47;51;43;54;54;53;54;58;55;61;42;59;44;56;53;49;48;38;52;47;69;32;38;45;49;50;41;50;34;37;42;41;46;39;30;43;50;51;46;45;41;51;64;40;51;51;47;54;37;46;61;57;57;66;53;52;53;64;58;43;54;51;49;56;54;39;47;68;44;58;49;57;42;37;45;50;43;50;47;53;42;50;47;46;49;42;45;42;53;45;47;44;48;38;51;33;45;53;47;43;54;58;40;42
" ";" ";"95-99 years";15;18;13;15;11;18;10;10;10;6;5;11;13;13;13;7;10;11;8;11;11;12;9;11;13;11;4;14;12;13;15;10;7;9;14;9;10;9;14;8;12;14;8;14;8;10;8;9;14;12;12;16;10;10;20;22;22;11;15;13;19;15;8;16;12;11;13;12;13;17;12;10;16;16;9;10;6;4;7;12;18;5;14;8;6;12;11;17;13;11;9;9;8;10;17;9;16;20;13;15;17;10;10;16;14;17;14;16;12;20;12;19;15;20;6;15;16;9;12;12;15;13;20;25;9;8;8;13;9;14;12;12;9;12;11;12;6;10;13;10;9;6;6;13;9;8;14;19;12;12;19;15;17;18;19;14;19;19;14;11;12;16;11;24;15;12;11;15;17;23;9;15;11;13;16;11;10;18;13;13;14;14;10;15;16;12;11;15;8;9;17;17;10;15;11;14;15;10;20;5;10;11;13;17;11;10;11;18;15;9;18;18;13;20;21;28;14;21;21;18;18;19;19;18;11;18;15;12;13;16;12;11;16;10;12;16;13;15;18;23;20;12;11;12;12;16;12;10;19;20;19;12;14;17;13;14;13;27;8;16;13;16;17;18;16;28;21;13;13;13;15;14;14;12;14;15;15;9;9;7;15;6;9;11;12;9;12;12;18;12;15;15;8;12;18;10;11;17;15;13;16;12;10;10;20;14;16;19;18;5;16;20;23;15;19;18;25;19;16;9;22;12;18;11;13;16;11;15;11;8;15;15;13;19;12;8;19;12;17;16;12;19;13;20;8;16;20;15;17;19;11;15;18;19;10;17;11;18;12;18;11;12
" ";" ";"100 years and over";3;2;1;5;3;1;2;1;0;1;0;1;3;2;1;0;2;4;0;0;1;0;0;0;1;1;3;1;3;2;3;1;1;2;1;1;0;2;0;3;3;0;2;1;0;3;0;2;1;6;4;0;1;0;4;0;0;1;0;1;2;1;2;2;5;2;0;5;1;0;0;0;1;0;0;2;2;1;3;3;1;2;1;1;0;2;0;0;3;0;2;1;1;3;5;3;1;1;1;2;3;1;0;3;2;3;1;0;1;1;3;2;2;2;1;5;3;5;1;1;1;4;2;3;1;4;1;0;2;1;1;0;1;3;0;0;1;1;1;2;0;0;1;1;3;2;2;0;1;0;2;2;1;3;3;0;1;2;3;3;3;0;4;4;4;3;2;2;2;1;3;2;3;2;3;2;2;1;1;1;2;1;0;2;1;1;3;0;0;0;2;1;0;3;1;2;4;1;0;0;0;0;2;0;4;3;4;1;3;2;1;3;0;5;5;1;5;0;1;3;1;2;3;3;1;2;0;1;1;1;1;3;1;1;2;3;2;0;2;2;1;2;2;2;3;0;2;0;1;1;1;1;0;2;1;0;2;0;1;4;3;2;3;3;3;3;1;1;4;2;0;1;1;2;2;4;3;1;1;0;0;2;1;0;3;2;4;3;2;2;3;2;2;1;1;1;1;2;0;1;1;1;0;3;2;1;1;1;2;4;1;0;3;2;3;2;3;5;1;2;2;1;4;3;1;2;1;0;3;1;2;3;1;1;1;1;1;4;1;1;0;1;2;1;1;1;3;0;0;2;3;1;2;1;1;5;1;4;3;7;1;1
" ";"Women"
" ";" ";"0-4 years";1;2;2;0;0;1;5;3;2;3;2;1;1;1;5;2;5;1;1;2;1;0;1;1;1;2;1;1;3;0;2;3;2;5;2;2;4;2;2;3;0;4;1;1;1;4;3;6;3;1;1;4;4;4;0;2;0;1;2;1;5;1;3;4;2;2;2;5;3;1;2;1;1;1;0;6;3;2;2;1;2;2;2;1;3;2;1;0;5;3;1;4;3;3;1;0;2;5;2;2;2;3;0;1;2;4;2;0;1;0;1;2;1;2;5;5;3;0;2;3;2;2;0;1;2;1;0;0;1;0;1;1;4;3;3;0;4;3;2;1;0;2;4;3;4;2;1;4;0;0;1;3;2;0;0;0;4;1;3;2;4;3;0;2;0;1;3;4;1;2;1;4;2;2;4;1;6;1;1;4;1;0;1;5;1;3;1;2;2;4;3;5;0;0;6;5;2;1;2;1;4;2;2;1;1;1;0;3;0;1;2;1;4;5;2;2;5;0;1;1;4;1;1;2;4;1;1;2;3;2;3;2;2;0;0;2;3;1;1;1;2;3;2;3;0;1;6;0;6;1;2;3;2;3;2;4;4;2;0;1;0;1;2;1;2;1;1;1;2;1;1;3;0;4;0;2;0;1;4;0;4;1;2;1;3;1;4;1;0;2;1;7;4;1;1;0;2;1;0;1;0;0;2;0;2;2;3;1;2;2;1;2;4;2;0;2;4;6;2;1;0;2;2;2;2;1;0;0;3;3;3;1;1;1;1;0;1;2;3;4;1;2;4;0;2;3;3;2;0;2;4;1;2;3;2;0;1;1;2;4;0;0
" ";" ";"5-9 years";0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;2;0;0;1;0;0;0;0;1;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
